GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Second Brain Project,com.secondbrain.core,PDFDocument,28,14,0,0,7,6,2,3,2,3
Second Brain Project,com.secondbrain.core,TextSegment,0,31,0,0,0,11,0,6,0,6
Second Brain Project,com.secondbrain.core,TextNote,0,17,0,0,0,6,0,3,0,3
Second Brain Project,com.secondbrain.core,DocumentSource,16,6,0,0,6,2,3,2,3,2
Second Brain Project,com.secondbrain.persistence,ChatMessageEntity,0,55,0,0,0,21,0,11,0,11
Second Brain Project,com.secondbrain.persistence,DocumentEntity,0,49,0,0,0,21,0,11,0,11
Second Brain Project,com.secondbrain.persistence,UserEntity,12,59,1,1,6,21,4,11,3,11
Second Brain Project,com.secondbrain.persistence,ChatSessionEntity,29,61,1,1,13,16,8,8,7,8
Second Brain Project,com.secondbrain,JavaFXApplication,31,0,0,0,8,0,4,0,4,0
Second Brain Project,com.secondbrain,SecondBrainApplication,4,3,0,0,2,1,1,1,1,1
Second Brain Project,com.secondbrain,StageReadyEvent,8,0,0,0,3,0,2,0,2,0
Second Brain Project,com.secondbrain,PrimaryStageInitializer,56,0,0,0,16,0,2,0,2,0
Second Brain Project,com.secondbrain.controller,UpgradeController,65,10,2,0,18,4,8,2,7,2
Second Brain Project,com.secondbrain.controller,WebController,463,187,75,9,104,40,53,8,13,6
Second Brain Project,com.secondbrain.controller,LandingController,65,3,0,0,17,1,4,1,4,1
Second Brain Project,com.secondbrain.controller,MainController.AppMode,0,15,0,0,0,1,0,1,0,1
Second Brain Project,com.secondbrain.controller,LoginController,60,94,4,6,18,25,5,8,1,7
Second Brain Project,com.secondbrain.controller,AdminController,4,164,2,8,2,32,2,12,0,9
Second Brain Project,com.secondbrain.controller,AdminFXController.new TableCell() {...},34,0,6,0,6,0,5,0,2,0
Second Brain Project,com.secondbrain.controller,AdminFXController.new TableCell() {...},34,0,6,0,6,0,5,0,2,0
Second Brain Project,com.secondbrain.controller,AdminFXController.new TableCell() {...},44,0,8,0,8,0,6,0,2,0
Second Brain Project,com.secondbrain.controller,AdminFXController.new TableCell() {...},36,0,6,0,7,0,5,0,2,0
Second Brain Project,com.secondbrain.controller,MainController,1702,560,154,44,311,99,134,30,50,15
Second Brain Project,com.secondbrain.controller,AdminFXController,716,391,73,1,86,94,84,17,47,17
Second Brain Project,com.secondbrain.service,OpenAIDriver,0,25,0,0,0,10,0,2,0,2
Second Brain Project,com.secondbrain.service,VectorDatabase,4,194,5,17,1,38,4,12,0,5
Second Brain Project,com.secondbrain.service,UserService,55,86,4,8,10,21,6,9,4,5
Second Brain Project,com.secondbrain.service,ChatService,224,124,12,6,49,25,21,9,14,7
Second Brain Project,com.secondbrain.service,SecondBrainAgent,290,89,22,2,63,21,18,5,6,5
